ID,Leaf_ABA,Leaf_ABA,Root_ABA,Root_ABA,Leaf_Control,Leaf_Control,Root_Control,Root_Control
gene-LOC112081417,305.748667,246.492363,338.288911,371.576463,181.526099,188.093898,346.974784,321.682355
gene-LOC112081418,1.539668,0.994897,0.732178,0.681742,0.875715,1.018433,0.799205,1.291864
gene-LOC112081419,78.954423,94.733256,1.60024,1.828284,121.339936,114.700099,1.808857,1.308725
gene-LOC112081420,52.031332,62.473285,110.07228,123.985398,35.163343,32.817171,104.578909,111.757063
gene-LOC112081421,88.984466,91.740118,87.975932,90.062981,66.435823,75.588466,72.749371,80.612981
gene-LOC112081422,17.958999,16.187807,20.223429,15.435328,26.456367,26.170327,20.091824,14.671506
gene-LOC112081423,7.074355,7.597365,20.255609,15.759689,4.461381,5.70688,11.367254,13.1858
gene-LOC112081424,1.973113,2.273835,2.834922,3.442358,2.093328,3.066385,4.050365,3.9331
gene-LOC112081425,5.742483,6.894735,6.142839,5.395875,4.006108,2.814137,6.03811,8.403238
gene-LOC112081426,1.133678,0,1.508256,0,0.572495,0,0.700048,0
gene-LOC112081427,11.800631,8.738105,9.242763,11.527081,9.510854,8.627071,10.897145,10.845389
gene-LOC112081428,41.547344,28.116047,3.22417,3.735045,43.536037,17.687181,1.936185,1.670292
gene-LOC112081429,11.270062,17.948554,22.447097,13.99445,15.395574,11.281244,26.633805,31.770378
gene-LOC112081431,0,0,0,0,0,0,0,0
gene-LOC112081432,0,0,0,0,0,0,0,0
gene-LOC112081433,0,0,0,0,0,0,0,0
gene-LOC112081434,0,0,0,0,0,0,0,0
gene-LOC112081436,0,0,0,0,0,0,0,0
gene-LOC112081439,0.782218,0.850565,0,0.203446,0,0,0.202723,0.400872
gene-LOC112081440,0,0,0,0,0,0.200555,0,0
gene-LOC112081441,93.599905,100.117294,547.31348,369.931118,29.816371,62.671195,72.671417,119.649906
gene-LOC112081442,3.604225,4.465789,12.128872,12.462391,3.406298,3.847472,2.59168,1.760623
gene-LOC112081443,202.928752,197.600283,182.995623,204.711536,163.502827,150.725356,253.478507,199.935821
gene-LOC112081444,49.428461,62.935125,125.484848,106.040295,45.807218,44.117021,112.697583,134.007154
gene-LOC112081445,6.437458,5.643703,3.704317,4.208143,14.528105,12.887018,7.997099,6.998403
gene-LOC112081446,20.981426,21.386884,15.006468,12.120681,12.1482,13.249462,20.74364,18.184426
gene-LOC112081447,0,0,0.277468,0,0,0,1.297343,0.307287
gene-LOC112081448,13.643623,11.422899,11.550631,12.160921,9.967728,10.633686,23.4435,25.25015
gene-LOC112081450,8.888413,6.767833,8.208039,7.449505,6.024471,6.906882,4.732764,5.033245
gene-LOC112081451,0,0,0,0,0,0.106267,0.115909,0
gene-LOC112081452,4.524106,8.375074,0.066478,0.153581,6.079299,5.350075,0.138304,0.132461
gene-LOC112081453,0.22242,0.369884,0,0,0.245036,0.172374,0.028613,0.028324
gene-LOC112081454,10.553,9.058024,0.217421,0.480502,17.196421,12.616666,5.601694,4.100667
