ID,Control,Control,Salt,Salt
gene-LOC112081417,239.442177,155.109034,143.185756,209.727543
gene-LOC112081418,1.125751,1.113778,0.755122,0.994014
gene-LOC112081419,20.003448,23.408988,29.499653,46.956845
gene-LOC112081420,80.520183,52.836841,40.876611,73.558992
gene-LOC112081421,132.419948,138.020959,99.511899,109.591766
gene-LOC112081422,29.668033,20.541622,25.448437,37.263067
gene-LOC112081423,38.312486,40.98681,102.910635,91.704143
gene-LOC112081424,4.754455,5.117439,3.146532,4.561617
gene-LOC112081425,5.680113,5.447301,3.565263,6.144024
gene-LOC112081426,0,0,0,0.325784
gene-LOC112081427,16.641363,15.005815,7.623183,14.913261
gene-LOC112081428,1.809887,1.790079,1.109669,1.631394
gene-LOC112081429,61.473899,72.144021,37.257546,42.119762
gene-LOC112081431,0,0,0,0
gene-LOC112081432,0,0,0,0
gene-LOC112081433,0,0,0,0
gene-LOC112081434,0,0,0,0
gene-LOC112081436,0,0,0,0
gene-LOC112081439,0,0.292625,0.299637,0.617579
gene-LOC112081440,0,0,0,0
gene-LOC112081441,252.739917,184.554717,906.827427,338.682142
gene-LOC112081442,16.742208,8.072104,2.526232,11.289772
gene-LOC112081443,75.83933,82.495697,95.043315,114.034735
gene-LOC112081444,104.610976,118.811556,92.105209,70.394139
gene-LOC112081445,4.913683,2.716503,2.099329,6.370984
gene-LOC112081446,19.517793,18.718495,16.189529,16.133401
gene-LOC112081447,0,0,0,0
gene-LOC112081448,8.927726,7.839697,2.566714,6.234833
gene-LOC112081450,5.371936,7.353817,6.823212,7.726219
gene-LOC112081451,0,0,0,0.063015
gene-LOC112081452,18.476145,11.750118,25.483042,28.154565
gene-LOC112081453,0.087056,0.03719,0.11521,0
gene-LOC112081454,25.575738,40.72784,38.475697,40.725295
gene-LOC112081455,47.155377,49.638939,64.252161,33.101368
gene-LOC112081456,4.343716,3.145723,21.385871,7.246429
gene-LOC112081457,302.365609,37.649839,12.934249,18.651377
gene-LOC112081458,23.02568,21.759322,29.138418,10.774691
gene-LOC112081459,0.041206,0.035126,0,0
gene-LOC112081460,0,0,0,0
gene-LOC112081461,0.559916,0,0,0.279434
gene-LOC112081462,141.919766,139.769906,20.570383,37.027816
gene-LOC112081463,142.527462,54.755436,10.216368,108.479606
gene-LOC112081464,1.357644,1.79594,1.707679,1.367229
gene-LOC112081465,1.614591,1.037764,1.654374,2.035848
gene-LOC112081466,128.711663,126.711639,89.777595,142.498322
