,Tissue,Custome
Anthers of the mature flower (F.AN.ad),Anther,Unknown
Anthers of the young flower (F.AN.y),Anther,Unknown
Axis of the inflorescence (AX),Infloresecence,Unknown
Carpel of 6th and 7th flowers (POD.y6-7),Carpel,Unknown
Carpels of the mature flower (F.CA.ad),Carpel,Unknown
Carpels of the young flower (F.CA.y),Carpel,Unknown
Dry Seeds (SD.d),Seed,Unknown
Flower 1 (F1),Flower,Unknown
Flower 2 (F2),Flower,Unknown
Flower 3 (F3),Flower,Unknown
Flower 4 (F4),Flower,Unknown
Flower 5 (F5),Flower,Unknown
Flowers 12-14 (F12-14),Flower,Unknown
Flowers 15-18 (F15-18),Flower,Unknown
Flowers 19 and following (F19+),Flower,Unknown
Flowers 6-8 (F6-8),Flower,Unknown
Flowers 9-11 (F9-11),Flower,Unknown
Germinating seeds 1 (SD.g1),Seed,Unknown
Germinating seeds 2 (SD.g2),Seed,Unknown
Germinating seeds 3 (SD.g3),Seed,Unknown
Internode (IN),Internode,Unknown
Leaf Lamina of the mature leaf (L.LAM.lg),Leaf,Unknown
Leaf Lamina of the young leaf (L.LAM.y),Leaf,Unknown
"Leaf Lamina, intermediate 1 (L.LAM.i1)",Leaf,Unknown
"Leaf Lamina, intermediate 2 (L.LAM.i2)",Leaf,Unknown
Leaf Petiole of the mature leaf (L.PET.lg),Leaf,Unknown
Leaf Petiole of the senescent leaf (L.PET.sn),Leaf,Unknown
Leaf Petiole of the young leaf (L.PET.y),Leaf,Unknown
"Leaf Petiole, intermediate 1 (L.PET.i1)",Leaf,Unknown
"Leaf Petiole, intermediate 2 (L.PET.i2)",Leaf,Unknown
Leaf Vein of the mature leaf (L.VN.lg),Leaf,Unknown
Leaf Vein of the senescent leaf (L.VN.sn),Leaf,Unknown
"Leaf Vein, intermediate 2 (L.VN.i2)",Leaf,Unknown
"Leaf, mature (L.lg)",mature ,Unknown
Opened Anthers (F.AN),Anther,Unknown
Ovules from 6th and 7th flowers (OV.y6-7),Ovules,Unknown
Pedicel (PED),Pedicel,Unknown
Petals of the mature flower (F.PT.ad),Petal,Unknown
Pod of the senescent silique 1 (POD.sn1),Pod,Unknown
Pod of the silique 1 (POD1),Pod,Unknown
Pod of the silique 3 (POD3),Pod,Unknown
Pod of the silique 5 (POD5),Pod,Unknown
Pod of the silique 7 (POD7),Pod,Unknown
Root (R ),Root,Unknown
Root Apex (R.A),Root,Unknown
Seedling Cotyledons (S.C),Seedling,Unknown
Seedling Hypocotyl (S.H),Seedling,Unknown
Seedling Meristem (S.M),Seedling,Unknown
Seedling Root (S.R),Seedling,Unknown
Seeds 1 (SD1),Seed,Unknown
Seeds 3 (SD3),Seed,Unknown
Seeds 5 (SD5),Seed,Unknown
Seeds 7 (SD7),Seed,Unknown
Seeds from the senescent silique 1 (SD.sn1),Seed,Unknown
Senescent internode (IN.sn),Internode,Unknown
Senescent silique 2 (SL.sn2),Silique,Unknown
Sepals of the mature flower (F.SP.ad),Sepal,Unknown
Sepals of the young flower (F.SP.y),Sepal,Unknown
Silique 2 (SL2),Silique,Unknown
Silique 4 (SL4),Silique,Unknown
Silique 6 (SL6),Silique,Unknown
Silique 8 (SL8),Silique,Unknown
Stamen filaments of the mature flower (F.FM.ad),Stamen,Unknown
Stigmatic tissue (STI),Stigma,Unknown
Young seeds 1 (SD.y1),Seeds,Unknown
Young seeds 2 (SD.y2),Seeds,Unknown
Young seeds 3 (SD.y3),Seeds,Unknown
Young seeds 4 (SD.y4),Seeds,Unknown
Young seeds 5 (SD.y5),Seeds,Unknown
