,Tissue,Custom
callus,callus,Unknown
flower,flower,Unknown
leaf1_1,leaf1,Unknown
leaf1_2,leaf1,Unknown
root1_1,root1,Unknown
root1_2,root1,Unknown
silique,silique,Unknown
stem,stem,Unknown
Embryo_1,Embryo,Unknown
Embryo_2,Embryo,Unknown
Endosperm_1,Endosperm,Unknown
Endosperm_2,Endosperm,Unknown
Fertilized ovules_1,Fertilized ovules,Unknown
Fertilized ovules_2,Fertilized ovules,Unknown
Inflorescence_meristem_1,Inflorescence meristem,Unknown
Inflorescence_meristem_2,Inflorescence meristem,Unknown
Leaf2_1,Leaf2,Unknown
Leaf2_2,Leaf2,Unknown
Leaf3_1,Leaf3,Unknown
Leaf3_2,Leaf3,Unknown
Pollen,Pollen,Unknown
Unfertilized_ovules,Unfertilized ovules,Unknown
