,Treatment,Tissue,Unused,Custome
Embryo_control,Control,Embryo,NA,Unknown
Embryo_control,Control,Embryo,NA,Unknown
Endosperm_control,Control,Endosperm,NA,Unknown
Endosperm_control,Control,Endosperm,NA,Unknown
Fertilized_ovules_control,Control,Fertilized_Ovules,NA,Unknown
Fertilized_ovules_control,Control,Fertilized_Ovules,NA,Unknown
Inflorescence_meristem_control,Control,Inflorescence_meristem,NA,Unknown
Inflorescence_meristem_control,Control,Inflorescence_meristem,NA,Unknown
Leaves_control,Control,Leaves,NA,Unknown
Leaves_control,Control,Leaves,NA,Unknown
Leaves_control,Control,Leaves,NA,Unknown
Leaves_control,Control,Leaves,NA,Unknown
Pollen_control,Control,Pollen,NA,Unknown
Unfertilized_ovules_control,Control,Unfertilized_ovules,NA,Unknown
Embryo_heat,Heat,Embryo,NA,Unknown
Embryo_heat,Heat,Embryo,NA,Unknown
Endosperm_heat,Heat,Endosperm,NA,Unknown
Endosperm_heat,Heat,Endosperm,NA,Unknown
Fertilized_ovules_heat,Heat,Fertilized_Ovules,NA,Unknown
Fertilized_ovules_heat,Heat,Fertilized_Ovules,NA,Unknown
Inflorescence_meristem_heat,Heat,Inflorescence_meristem,NA,Unknown
Inflorescence_meristem_heat,Heat,Inflorescence_meristem,NA,Unknown
Leaves_heat,Heat,Leaves,NA,Unknown
Leaves_heat,Heat,Leaves,NA,Unknown
Leaves_heat,Heat,Leaves,NA,Unknown
Leaves_heat,Heat,Leaves,NA,Unknown
Pollen_heat,Heat,Pollen,NA,Unknown
Unfertilized_ovules_heat,Heat,Unfertilized_ovules,NA,Unknown
